sentence1,relation,relationscore,structure,structurescore
Unwanted folders showing up in Gallery. Can they be removed?,"""Gallery is showing up unwanted folders. Can they remove me?""",2,Can unwanted folders in Gallery be removed?,5
Universe Expansion as an absolute time reference,"""Absolute time reference is Universe Expansion.""",3,Is the expansion of the universe an absolute time reference?,5
Layers with same coordinate system should align/overlap but do not?,"""Align/overlap should not happen with layers having the same coordinate system.""",3,Why do layers with the same coordinate system not align/overlap?,5
How to pipe a stream to another notebook?,"""Another notebook should stream to pipe me how?""",1,How can a stream be piped to another notebook?,5
How to exclude certain slides from handout,"""Handout should exclude certain slides.""",3,"From a handout, how can certain slides be excluded?",5
How to emphasize some author names using BibTeX?,"""BibTeX should de-emphasize some author names.""",2,How can author names be emphasized using BibTeX?,5
"There is no point in or ""There is not a point in""","""There is a point in or 'There is a point in'""",2,"There is no point in or ""It is not worth it""?",4
Preferred way to apostrophise in case of dual or multiple ownership by distinct entities,"""Distinct entities should apostrophize in the case of dual or multiple ownership in the preferred way.""",2,What is the preferred way to apostrophize in case of dual or multiple ownership by distinct entities?,5
What do the different symbols on the map represent?,"The map represents different symbols, but what do they represent?",4,"On the map, what do the different symbols represent?",5
PDF letterhead as document background,Document background as PDF letterhead,2,Document background as PDF letterhead?,5
What is the best package out there to typeset proof trees?,Typeset proof trees: what is the worst package out there?,2,"Typeset proof trees, what is the best package out there?",5
"Noun for ""person with intermediate skill""","""Person with intermediate skill"": what is the noun for someone who lacks it?",2,"Person with intermediate skill, noun for?",5
Does TeXLive2013 need any special install instructions?,Special install instructions needed for TeXLive2013?,5,Any special install instructions needed for TeXLive2013?,5
Can you split a photon?,"A photon can be split, but can you?",3,"Splitting a photon, can you?",5
How to autostart a background program by a non-root user?,Autostart a background program by a non-root user: how not to do it?,2,How can a non-root user autostart a background program?,5
What happens when we connect a metal wire between the 2 poles of a battery?,Connecting a metal wire between the 2 poles of a battery: what doesn't happen?,2,"When we connect a metal wire between the 2 poles of a battery, what happens?",5
"Why are not ""infamous"" and ""inflammable"" the opposite of ""famous"" and ""flammable""?","""Infamous"" and ""inflammable"" are not the opposite of ""famous"" and ""flammable"", but why not?",2,"Opposite of 'famous' and 'flammable', why are not 'infamous' and 'inflammable'?",5
How to access the history on the fly in unix?,"The history on the fly in Unix wants to access me, how do I do it?",3,"In unix, how can I access the history on the fly?",5
Command/macro name cannot include numbers and symbols,Numbers and symbols cannot include command/macro names.,2,Can numbers and symbols be included in a command/macro name?,4
Non-commutative symbolic linear algebra,Symbolic linear algebra is commutative.,1,Symbolic linear algebra that is non-commutative.,4
Which shopping cart / ecommerce platform to choose?,Which ecommerce platform / shopping cart wants to be chosen?,3,Which ecommerce platform/shopping cart should I choose?,4
"What's the difference between a ""developer"" and a ""programmer""?","What's the difference between a ""programmer"" and a ""developer"" according to the industry?",5,"What distinguishes a ""developer"" from a ""programmer""?",5
Generating a vector of dummy variables,A vector of dummy variables is generating me.,4,How to generate a vector of dummy variables?,5
"Refurbishing ""loose"" Xbox360 Controller","The ""loose"" Xbox360 Controller needs to be refurbished by me.",3,How can I refurbish a 'loose' Xbox360 Controller?,5
"I have to vs. ""I must""","""I must"" have to do something.",3,'I have to' versus 'I must'?,5
"Is there a word that means ""make someone (or something) redundant""?","Is there a word that means ""someone (or something) makes me redundant""?",4,Is there a word that means to make someone (or something) redundant?,5
Isn't less just more?,"More is just less, isn't it?",5,Isn't more just less?,5
"Paintings on walls and ceilings and ""painting of portraits, landscapes""","Portraits and landscapes are ""paintings on walls and ceilings"".",3,"Paintings of portraits, landscapes, and on walls and ceilings.",4
Suggestions of internet forum software,Suggestions of internet forum hardware.,2,Suggestions for internet forum software,5
Dragon souls not activating new words,New words not activating dragon souls.,3,New words not activated by dragon souls.,5
Why do some physicists believe that scalable quantum computing is possible?,Why do some scalable quantum computing physicists believe it is possible?,4,Why is scalable quantum computing believed to be possible by some physicists?,5
How do I change player name in minecraft multiplayer in offline mode in Linux?,"In Linux, how do Minecraft multiplayer players change their name in offline mode?",2,"In Linux, how can I change the player name in Minecraft multiplayer while offline?",5
Periods for bullet point items,Bullet point items for periods.,2,Should bullet point items have periods?,5
"Can one ""manually override"" BibTeX's choice of citation keys by adding a field to the entry?","By adding a field to the entry, can BibTeX's choice of citation keys be manually overridden?",4,Can BibTeX's choice of citation keys be manually overridden by adding a field to the entry?,5
How to find out the variant of my Galaxy Nexus?,"The variant of my Galaxy Nexus, how to find out?",4,"The variant of my Galaxy Nexus, how to find out?",4
How to georeference a dxf?,"A dxf, how to georeference?",4,"A dxf, how to georeference?",4
How do I calculate the latitude and longitude of points using QGIS?,"Using QGIS, how to calculate the latitude and longitude of points?",4,"Using QGIS, how to calculate the latitude and longitude of points?",4
Cron Job not working in plugin,"In plugin, cron job not working.",2,"In plugin, cron job not working.",2
Simple algorithm for online outlier detection of a generic time series,"Online outlier detection of a generic time series, simple algorithm for?",4,"Online outlier detection of a generic time series, simple algorithm for?",4
Syntax Coloring in LaTeX,"LaTeX, syntax coloring in?",2,"LaTeX, syntax coloring in?",2
How do I prevent access to an add-on domain's root directory from main hosting domain name,"From main hosting domain name, how to prevent access to an add-on domain's root directory?",4,"From main hosting domain name, how to prevent access to an add-on domain's root directory?",4
